sentence	option1	option2
The pan does not get hot fast enough when placed over the flame because the _ is too low.	flame	pan
My new routine was going to fit in my schedule, because the _ was very empty.	routine	schedule
John used the microwave to prepare the potatoes, but not the beans, since the _ were best eaten cold .	potatoes	beans
John used the microwave to prepare the potatoes, but not the beans, since the _ were best eaten hot .	potatoes	beans
Evan moved bullets from the gun to the box for ammo until the _ was full.	box	gun
Evan moved bullets from the gun to the box for ammo until the _ was empty.	box	gun
At art class in school, Craig asked William for glue because the glue _ had was full.	Craig	William
At art class in school, Craig asked William for glue because the glue _ had was empty.	Craig	William
Cynthia skipped breakfast but Angela ate a large morning meal, so _ was still full by lunchtime.	Cynthia	Angela
They wanted more satiation at the wedding, so the planners used icing rather than fruit on the cake as the _ was more empty.	icing	fruit
Michael asked Jeffrey if the company had ever been accused of discrimination because _ wanted to know.	Michael	Jeffrey
Michael asked Jeffrey if the company had ever been accused of discrimination but _ did not know.	Michael	Jeffrey
Nelson was scheduled to retire from their position at the company before Eric because _ was younger.	Nelson	Eric
Nelson was scheduled to retire from their position at the company before Eric because _ was older.	Nelson	Eric
Jill dropped her ice cream onto her wide sailor pants and decided to put on jeans. She needed to put on different leggings because the _ are clean.	sailor pants	jeans
Jill dropped her ice cream onto her wide sailor pants and decided to put on jeans. She needed to put on different leggings because the _ are dirty.	sailor pants	jeans
The plants do not grow because too much was planted at a spot. The _ is too small.	spot	plant
The plants do not grow because too much was planted at a spot. The _ is too big.	spot	plant
Bill poured the bag of green apple into the white bowl until the _ was completely empty.	bag	bowl
Bill poured the bag of green apple into the white bowl until the _ was completely full.	bag	bowl
Cynthia decided to hire Sarah to create a new logo for her company because _ was a professional designer.	Cynthia	Sarah
Cynthia decided to hire Sarah to create a new logo for her company because _ needed a professional designer.	Cynthia	Sarah
The soap dispenser was empty so we poured some more soap into it until the _ ran out out.	dispenser	soap
The soap dispenser was empty so we poured some more soap into it until the _ was full.	dispenser	soap
The man added water to the car, but didn't need to add any oil, because the _ reservoir was full.	water	oil
Robert was fully fluent in Spanish and tried to talk to Steven using it; when he didn't understand, _ switched to English.	Robert	Steven
Robert was fully fluent in Spanish and tried to talk to Steven using it; when he didn't understand, _ decided to learn.	Robert	Steven
The girl poured the powdered milk from the box into the glass of water.  The _ was wet.	water	milk
The girl poured the powdered milk from the box into the glass of water. The _ was dry.	water	milk
Benjamin made a cup of rosehip tea for Donald even though _ knew they preferred green tea.	Benjamin	Donald
Benjamin made a cup of rosehip tea for Donald even though they knew _ preferred green tea.	Benjamin	Donald
Brett drank several bottles of water every day while Neil drank several bottles of pop. _ was never dehydrated during the day.	Brett	Neil
Brett drank several bottles of water every day while Neil drank several bottles of pop. _ was often dehydrated during the day.	Brett	Neil
The damage in Hawaii was worse than the destruction in Japan, because the _ was from a weaker earthquake.	damage	destruction
The damage in Hawaii was worse than the destruction in Japan, because the _ was from a stronger earthquake.	damage	destruction
Jill poured the entire bag of flour into the mixing bowl until the _ was full.	bag	bowl
Jill poured the entire bag of flour into the mixing bowl until the _ was empty.	bag	bowl
The brush Laura gave to Jessica was a family heirloom, so _ put it in a shadow box.	Laura	Jessica
The brush Laura accepted from Jessica was a family heirloom, so _ put it in a shadow box.	Laura	Jessica
Carrie worked for a great company compared to Samantha, therefore _ received a lot more benefits.	Carrie	Samantha
Carrie worked for a bad company compared to Samantha, therefore _ received a lot more benefits.	Carrie	Samantha
The bucket was a better choice than the cup to carry water because the _ held less.	bucket	cup
The bucket was a better choice than the cup to carry water because the _ held more.	bucket	cup
The dog was able to drink easily from the bowl, but not the pan, because the _ was short.	bowl	pan
The dog was able to drink easily from the bowl, but not the pan, because the _ was tall.	bowl	pan
Carrie persuaded Victoria to go into the pig pen and bring out a bowl, because _ was brave around animals.	Carrie	Victoria
Carrie persuaded Victoria to go into the pig pen and bring out a bowl, because _ was cowardly around animals.	Carrie	Victoria
The turtle saw a race and a piece of lettuce. He chose the _ because he was full.	race	piece of lettuce
Kenneth was less concerned with the environment than Adam , so _ always used plastic bags.	Kenneth	Adam
Kenneth was less concerned with the environment than Adam , so _ never used plastic bags.	Kenneth	Adam
Scott saw his company's profit sheet and asked for a raise. It was denied because the _ was too big.	raise	profit
Scott saw his company's profit sheet and asked for a raise. It was denied because the _ was too small.	raise	profit
In Japan, a superhighway was scheduled to be built over the span of ten years, but the budget ran out. The _ was never realized.	superhighway	budget
In Japan, a superhighway was scheduled to be built over the span of ten years, but the budget ran out. The _ was not enough.	superhighway	budget
Paul served the chocolate milk in a glass instead of the plastic cup, because the _ was unbroken.	cup	glass
Paul served the chocolate milk in a glass instead of the plastic cup, because the _ was cracked.	cup	glass
The water spilling out of the pot put out the fire on the stove. The _ is plentiful.	water	fire
The water spilling out of the pot put out the fire on the stove. The _ is weak.	water	fire
Julie emptied the water bottle into the cup on her desk until the _ was full.	bottle	cup
Julie emptied the water bottle into the cup on her desk until the _ was empty.	bottle	cup
Mike dumped the juice out of the baby bottle and filled it with milk, because the _ was fresher.	juice	milk
Mike dumped the juice out of the baby bottle and filled it with milk, because the _ was older.	juice	milk
Rebecca received many employee complaints about Victoria during the company meeting, so _ fired them.	Rebecca	Victoria
Rebecca received many employee complaints about Victoria during the company meeting, so _ was fired.	Rebecca	Victoria
More cups are needed in order to empty the vodka in the bottles. The _ are small.	cups	bottles
More cups are needed in order to empty the vodka in the bottles. The _ are big.	cups	bottles
There are much salt left in the jar after some have been poured into the cup. The _ is way bigger.	jar	cup
There are much salt left in the jar after some have been poured into the cup. The _ is way smaller.	jar	cup
Mona had a panic attack while public speaking and found out she was agoraphobic. The _ was terrifying.	attack	speaking
Mona had a panic attack while public speaking and found out she was agoraphobic. The _ was stopped.	attack	speaking
James realized he can put more jeans in the box than jacket. The _ is smaller.	jeans	jacket
James realized he can put more jeans in the box than jacket. The _ is bigger.	jeans	jacket
Adam got full when eating dinner with Leslie on Sundays because _ had a very small stomach.	Adam	Leslie
Adam got full when eating dinner with Leslie on Sundays because _ had a very large stomach.	Adam	Leslie
The cashier moved the money out of the bag and into the drawer, as the _ was vulnerable to theft.	bag	drawer
The cashier moved the money out of the bag and into the drawer, as the _ was secure from theft.	bag	drawer
Mark told Jason never to put his plants in copper containers, but to use clay pots instead because the _ was healthy.	clay	copper
Mark told Jason never to put his plants in copper containers, but to use clay pots instead because the _ was toxic.	clay	copper
Needing to repair a window pane and hang a picture, Shane found a hammer and some glue, so he used the _ to repair the window.	hammer	glue
Needing to repair a window pane and hang a picture, Shane found a hammer and some glue, so he used the _ to hang the picture.	hammer	glue
The start-up incubator was good for the companies but not for the banks, as the _ lost lots of money from the loans.	companies	banks
The start-up incubator was good for the companies but not for the banks, as the _ made lots of money from the loans.	companies	banks
The water do not get to the bottom of the bowl after james poured water on the soil in it. Just the _ is wet.	bowl	soil
The water do not get to the bottom of the bowl after james poured water on the soil in it. Just the _ is dry.	bowl	soil
The ears on the elf were easier to spot than the eyes, and this is because the _ are larger.	ears	eyes
The ears on the elf were easier to spot than the eyes, and this is because the _ are smaller.	ears	eyes
The reason that Jason ate quickly while William did not eat another bite was because _ was full.	Jason	William
Nick decided to share their cheesecake with Lawrence during school lunch because _ was quite full already.	Nick	Lawrence
The cook added a bunch of salt from the bottle to the pan, so the _ was heavier.	bottle	pan
The cook added a bunch of salt from the bottle to the pan, so the _ was lighter.	bottle	pan
Eric didn't sleep well the night before, but Jeffrey slept peacefully. The next day, _ was energetic at work.	Eric	Jeffrey
Eric didn't sleep well the night before, but Jeffrey slept peacefully. The next day, _ was tired at work.	Eric	Jeffrey
Even though Victoria had a higher title than Kayla, _ made less in income at the company.	Victoria	Kayla
Even though Victoria had a higher title than Kayla, _ made more in income at the company.	Victoria	Kayla
It appears more jars can easily fit into the bags if attempted. He never know the _ are that small.	jars	bags
It appears more jars can easily fit into the bags if attempted. He never know the _ are that big.	jars	bags
The bartender poured the contents of the bottle into the glass because the _ was empty.	bottle	glass
The bartender poured the contents of the bottle into the glass because the _ was full.	bottle	glass
Megan tried to put her panties into Samantha 's laundry load, because _ didn't have enough room in her washing machine.	Megan	Samantha
Megan tried to put her panties into Samantha 's laundry load, but _ didn't have enough room in her washing machine.	Megan	Samantha
I filled my fountain pen with ink from a bottle until the _ was empty.	bottle	pen
I filled my fountain pen with ink from a bottle until the _ was full.	bottle	pen
Craig agreed to join Ian's bowling team because they needed a good bowler and _ is a professional.	Craig	Ian
Craig agreed to join Ian's bowling team because they needed a good bowler and _ is a bad bowler.	Craig	Ian
Ann quit her job and started her own company because the _ offered a higher income.	company	job
Ann quit her job and started her own company because the _ offered a lower income.	company	job
When Linda began to panic, her husband brought her into the bedroom instead of the living room because it was too loud in the _ .	living room	bedroom
When Linda began to panic, her husband brought her into the bedroom instead of the living room because it was quiet in the _ .	living room	bedroom
Upon unearthing a glass vase and a copper pot, the archaeology workers loosely packed the _ because it was sturdy.	vase	pot
Upon unearthing a glass vase and a copper pot, the archaeology workers tightly packed the _ because it was fragile.	vase	pot
James handed a box of items for his friend to carry but feeling lazy, his friend had his eyes on the bag because the _ is smaller.	bag	box
James handed a box of items for his friend to carry but feeling lazy, his friend had his eyes on the bag because the _ is bigger.	bag	box
After running the dishwasher, Mary removed the plates but left the cups in there because the _ were still dirty.	plates	cups
After running the dishwasher, Mary removed the plates but left the cups in there because the _ were clean.	plates	cups
The jar was made of glass but the bottle was plastic, so the _ was more durable.	jar	bottle
The jar was made of glass but the bottle was plastic, so the _ was more fragile.	jar	bottle
An indoor plant needs a pot and a water-can because the _ will be like rain.	pot	water-can
An indoor plant needs a pot and a water-can because the _ will not get rain.	pot	water-can
The man recycled his bottles but not his cans, because the _ were accepted at the recycling facility.	bottles	cans
The man recycled his bottles but not his cans, because the _ were prohibited by the recycling facility.	bottles	cans
James asked for a bag if they are paying him in cash and not a check because the _ is light.	cash	check
James asked for a bag if they are paying him in cash and not a check because the _ is bulky.	cash	check
Felicia likes working for the company in the city more than the one in the country.  The _  is fun.	city	country
Felicia likes working for the company in the city more than the one in the country.   The _  is boring.	city	country
Since Cynthia broke their ankle yesterday and Samantha's leg had fully healed, _ did not need to use crutches to move around.	Cynthia	Samantha
Since Cynthia broke their ankle yesterday and Samantha's leg had fully healed, _ needed to use crutches to move around.	Cynthia	Samantha
Benjamin drank Dennis's juice when they weren't looking last night so _ was looking for the bottle.	Benjamin	Dennis
Benjamin drank Dennis's juice when they weren't looking last night so _ was hiding the bottle.	Benjamin	Dennis
The activities that he had planned out could not fit into the schedules because the _ were full.	activities	schedules
Jojo planted a rose in the pot on the table but the _ was too tiny.	pot	rose
Jojo planted a rose in the pot on the table but the _ was too large.	pot	rose
Jane dropped her crystal in a bottle and closed it. It was amazing the _ was big enough.	bottle	crystal
Jane dropped her crystal in a bottle and closed it. It was amazing the _ was small enough.	bottle	crystal
Brett told Ian about his marriage to a smart and cute person they both know. Later _ received a nice bottle of wine to congratulate him.	Brett	Ian
Brett told Ian about his marriage to a smart and cute person they both know. Later _ felt lonely and opened a nice bottle of wine to console himself.	Brett	Ian
Samantha's home is filled with pots, pans, and skillets, but Lindsey does not have many. _ eats at restaurants more.	Samantha	Lindsey
Samantha's home is filled with pots, pans, and skillets, but Lindsey does not have many. _ eats at home more.	Samantha	Lindsey
Megan hated the table she saw, but Emily loved it. When they left the store empty-handed, _ was disappointed.	Megan	Emily
Megan loved the table she saw, but Emily hated it. When they left the store empty-handed, _ was disappointed.	Megan	Emily
We increased the output of the energy to get through the box since the _ was high.	energy	box
We increased the output of the energy to get through the box since the _ was low.	energy	box
I couldn't use the new pan to cook the steak, because the _ was too shallow.	pan	steak
I couldn't use the new pan to cook the steak, because the _ was too wide.	pan	steak
The box was still visible after James tried his best to manage the wrapper on it. James should have used the _ that is big.	wrapper	box
The box was still visible after James tried his best to manage the wrapper on it. James should have used the _ that is small.	wrapper	box
I had to develop a picture, and when I poured the solution from the jug into the pan, the _ was heavier.	jug	pan
I had to develop a picture, and when I poured the solution from the jug into the pan, the _ was lighter.	jug	pan
Maria ordered pancakes while Natalie ordered a hamburger, and _ put syrup and butter on their meal.	Maria	Natalie
Maria ordered pancakes while Natalie ordered a hamburger, and _ put ketchup and mustard on their meal.	Maria	Natalie
Our station at the school was not as full of people as John's cart because the _ was in a bad location.	station	cart
Our station at the school was not as full of people as John's cart because the _ was in a good location.	station	cart
At the clothing store, Beth wanted to get the jeans instead of the pants because the _ were cool.	jeans	pants
At the clothing store, Beth wanted to get the jeans instead of the pants because the _ were ugly.	jeans	pants
Samantha had an empty pantry while Sarah had a full pantry because _ needed to go to the grocery store.	Samantha	Sarah
Samantha had an empty pantry while Sarah had a full pantry because _ just went to the grocery store.	Samantha	Sarah
To shoot the commercial, the director asked the actors to stand on soapboxes then stare into the cameras because the _ were too high to capture them.	cameras	soapboxes
To shoot the commercial, the director asked the actors to stand on soapboxes then stare into the cameras because the _ lifted them high to capture them..	cameras	soapboxes
John poured some water from the bottle to the bowl and there  still enough space in the bowl. The _  large.	bowl	bottle
John poured some water from the bottle to the bowl and there  still enough space in the bowl. The _  small.	bowl	bottle
As the immigrant left the country, she could only bring her backpack and not her bag because the _ was essential.	backpack	bag
As the immigrant left the country, she could only bring her backpack and not her bag because the _ was superfluous.	backpack	bag
Samuel felt the effects of the alcohol more quickly than Donald, as _ drank on a full stomach.	Samuel	Donald
Samuel felt the effects of the alcohol more quickly than Donald, as _ drank on an empty stomach.	Samuel	Donald
Justin was not afraid to fight Leslie in the boxing ring, even though _ was much larger.	Justin	Leslie
Justin was not afraid to fight Leslie in the boxing ring, even though _ was much smaller.	Justin	Leslie
The members enjoyed the drinks and threw away the foods, thanks to the _ being garbage quality.	drinks	foods
The baby liked playing with the rattle more than the music box because the _ was more fun.	rattle	music box
The baby liked playing with the rattle more than the music box because the _ was more boring.	rattle	music box
I made pancakes and coffee for breakfast but only had the _ because I was feeling full already.	pancakes	coffee
I made pancakes and coffee for breakfast but only had the _ because I was feeling alert already.	pancakes	coffee
The phone I got couldn't fit into the pocket of the black pants I was wearing  The _ was too small.	pocket	phone
The phone I got couldn't fit into the pocket of the black pants I was wearing  The _ was too big.	pocket	phone
Ryan's fridge was fuller than Dennis's because _ just went shopping the day before yesterday.	Ryan	Dennis
Jill poured the entire bowl of cut chicken into the hot pan on the stove until the _ was empty.	bowl	pan
Jill poured the entire bowl of cut chicken into the hot pan on the stove until the _ was full.	bowl	pan
Jams bag protected the cloth when he walked in the mud. The _ is clean.	cloth	bag
Jams bag protected the cloth when he walked in the mud. The _ is dirty.	cloth	bag
John emptied the water from the bottle into the cup but we still have some left in the bottle. The _ is small.	bottle	cup
John emptied the water from the bottle into the cup but we still have some left in the bottle. The _ is big.	bottle	cup
Jose wanted to upgrade the performance of his computer and overclocked the CPU instead of the GPU because the _ was the bottleneck.	CPU	GPU
I poured pure beach sand into the Hermit Crab's animal cage until the _ was full.	animal	cage
The events for the summer didn't fit in the calendars because the _ were too full.	events	calendars
The author wrote notes on the writing pad with a pen until the _ was full.	pen	pad
The author wrote notes on the writing pad with a pen until the _ was empty.	pen	pad
Performing karaoke in public suited Dennis but not Justin because _ had little talent and trained unsuccessfully.	Dennis	Justin
Performing karaoke in public suited Dennis but not Justin because _ had considerable talent and trained successfully.	Dennis	Justin
The oils seeped out of the bag but were contained in the box, since the _ was permeable.	bag	box
The oils seeped out of the bag but were contained in the box, since the _ was impenetrable.	bag	box
Jill dropped her ice cream onto her wide leg pants and decided to put on jeans. She needed to put on different leggings because the _ are clean.	wide leg pants	jeans
Jill dropped her ice cream onto her wide leg pants and decided to put on jeans. She needed to put on different leggings because the _ are dirty.	wide leg pants	jeans
The mother said William was easier to potty train than Ryan because _ was less mature.	William	Ryan
The mother said William was easier to potty train than Ryan because _ was more mature.	William	Ryan
Amy went to a buffet. She couldn't finish eating the potatoes but could eat all the tomatoes because there was a minuscule amount of the _ on her plate.	tomatoes	potatoes
Amy went to a buffet. She couldn't finish eating the potatoes but could eat all the tomatoes because there was a grand amount of the _ on her plate.	tomatoes	potatoes
The housekeeper took wet clothing from the laundry basket and hung it on the clothesline until the _ was full.	basket	clothesline
The housekeeper took wet clothing from the laundry basket and hung it on the clothesline until the _ was empty.	basket	clothesline
John emptied the entire bowl of cookie batter onto the cooking pan until the _ was full.	bowl	pan
John emptied the entire bowl of cookie batter onto the cooking pan until the _ was empty.	bowl	pan
The man put the brocolli in the microwave while eating the potato, because the _ was warm.	brocolli	potato
The man put the brocolli in the microwave while eating the potato, because the _ was cold.	brocolli	potato
The milk gets colder when mixed with the water in the cup because the _ is cold.	milk	water
The milk gets colder when mixed with the water in the cup because the _ is hot.	milk	water
The apples didn't freeze well in the old refrigerator's freezer, so they made an icebox and finished the job. The _ was colder.	icebox	freezer
The apples didn't freeze well in the old refrigerator's freezer, so they made an icebox and finished the job. The _ was warmer.	icebox	freezer
I moved my wet clothing from the suitcase to the laundry bag, and as a result, the _ became light.	suitcase	bag
I moved my wet clothing from the suitcase to the laundry bag, and as a result, the _ became heavy.	suitcase	bag
We kept the bread in the box to help prevent mold and to keep it out of sight because the _ made the kitchen look messy.	bread	mold
We kept the bread in the box to help prevent mold and to keep it out of sight because the _ made the kitchen look dirty.	bread	mold
Mary put the cookies on a pan and put in the oven but the _ was too big.	pan	oven
Mary put the cookies on a pan and put in the oven but the _ was too small.	pan	oven
Darlene was making a casserole and decided to top it with tater tots instead of potato chips because her family had already had it with the _ before.	tater tots	potato chips
Darlene was making a casserole and decided to top it with tater tots instead of potato chips because her family had never had it with the _ before.	tater tots	potato chips
I just bought a new bag for my camera but it can't fit because the _ is too small.	camera	bag
I just bought a new bag for my camera but it can't fit because the _ is too big.	camera	bag
The pink shirt went with her shoes but not her pants , since the _ matched .	shoes	pants
